Influencer,Token,CA,Tweet Time,Price @Tweet,Price @5m,Price @10m,Price @15m,% Change
@kmoney_69,$PEPE,N/A,2025-03-18 22:49:17 UTC,4.2821e-08,4.2821e-08,4.2821e-08,4.2821e-08,0.0
@kmoney_69,$PWEASE,N/A,2025-03-18 22:49:17 UTC,0.02114787,0.02114787,0.02114787,0.02114787,0.0
